Type,Station name,Jan.,Feb.,March,Apr.,May,Jun.,Jul.,Aug.,Sept.,Oct.,Nov.,Dec.,Year
Summer days,Herford ,0,0,0,0.8,3.7,6.8,11.6,10.3,2.7,0.1,0,0,36
Sunshine Duration,Herford ,52,80,110,164,213,199,213,203,143,110,57,40,1583
Temperature ,Herford ,2.2,2.5,5.7,9.3,13.9,16.4,18.6,18.2,14.4,10.4,5.9,3.1,10.1
Ice days,Hersdorf-Weißenseifen ,8.8,6.2,1,0.1,0,0,0,0,0,0,2.1,7.2,25.3
Frost days,Hersdorf-Weißenseifen ,19.9,19.1,13.2,7.4,0.4,0,0,0,0,1.9,10.4,18.6,90.9
Hot days,Hersdorf-Weißenseifen ,0,0,0,0,0,0,0.5,0.9,0,0,0,0,1.4
Summer days,Hersdorf-Weißenseifen ,0,0,0,0,0.9,3.4,6.6,6.7,0.8,0,0,0,18.3
Sunshine Duration,Hersdorf-Weißenseifen ,36,75,110,149,180,181,196,190,139,97,50,26,1430
Temperature ,Hersdorf-Weißenseifen ,-0.2,0.1,3.6,6.4,11,13.8,15.9,15.8,12,8.2,3.5,0.9,7.6
Ice days,"Hersfeld, Bad ",7.8,5.2,0.8,0,0,0,0,0,0,0,1.2,6.1,21.1
Frost days,"Hersfeld, Bad ",18.4,18.2,13.3,5.8,0.4,0,0,0,0.1,2.8,9,17.4,85.4
Hot days,"Hersfeld, Bad ",0,0,0,0,0.1,1.2,3.6,2.5,0.2,0,0,0,7.7
Percipitation,"Hersfeld, Bad ",56,44,56,48,69,61,77,57,55,55,60,60,698
Summer days,"Hersfeld, Bad ",0,0,0,0.5,3.3,7.4,12.6,11.6,3,0.1,0,0,38.5
Sunshine Duration,"Hersfeld, Bad ",45,70,100,158,190,191,203,186,132,89,41,32,1437
Temperature ,"Hersfeld, Bad ",0.4,1,4.5,8.4,13,15.8,18,17.4,13.4,9.1,4.4,1.2,8.9
Ice days,Herten ,3.5,2.4,0.1,0,0,0,0,0,0,0,0.4,2,8.4
Frost days,Herten ,12.7,12.7,7.7,2.9,0.1,0,0,0,0,1.4,5.3,11.1,53.9
Hot days,Herten ,0,0,0,0,0.5,1.7,3.7,3,0.4,0,0,0,9.3
Percipitation,Herten ,93,72,80,57,77,83,83,78,84,78,79,93,956
Summer days,Herten ,0,0,0,1,4.6,7.4,11.3,9.9,2.8,0.1,0,0,37
Sunshine Duration,Herten ,50,72,108,160,194,186,201,184,135,105,53,40,1488
Temperature ,Herten ,3,3.1,6.4,9.8,14.1,16.6,18.8,18,14.4,10.6,6.4,3.8,10.4
Ice days,Hildesheim ,5.4,4.9,0.8,0,0,0,0,0,0,0,0.9,4.3,16.2
Frost days,Hildesheim ,13.7,14,9,3.7,0,0,0,0,0,2.1,5.9,12.6,61
Hot days,Hildesheim ,0,0,0,0,0.1,0.9,2.6,2.6,0.1,0,0,0,6.3
Percipitation,Hildesheim ,66,49,59,49,70,70,73,63,62,58,58,68,744
Summer days,Hildesheim ,0,0,0,0.5,3.1,5.9,11.1,10.6,2.6,0.1,0,0,34
Sunshine Duration,Hildesheim ,44,69,104,162,204,194,206,194,137,100,45,34,1493
Temperature ,Hildesheim ,1.8,1.9,5.1,8.8,13.3,15.8,17.9,17.6,14.1,10.1,5.5,2.7,9.6
Ice days,Hilgenroth ,6.6,4.1,0.3,0,0,0,0,0,0,0,1,4.4,16.4
Frost days,Hilgenroth ,17.9,16.6,10.6,4.4,0.4,0,0,0,0,1.8,7.8,16.3,75.7
Hot days,Hilgenroth ,0,0,0,0,0.1,1,3.1,2.3,0.1,0,0,0,6.7
Percipitation,Hilgenroth ,96,79,94,65,76,83,85,79,85,84,94,107,1028
Summer days,Hilgenroth ,0,0,0,0.3,3.3,6.8,11.3,9.1,2.1,0,0,0,33.1
Sunshine Duration,Hilgenroth ,47,75,109,162,189,192,207,192,138,100,48,36,1495
Temperature ,Hilgenroth ,0.8,1.4,4.9,8.4,12.9,15.6,17.8,17.2,13.5,9.4,4.8,1.8,9
Ice days,Hof ,13.8,10,2.9,0.3,0,0,0,0,0,0,3.8,12,42.8
Frost days,Hof ,24,21.9,17.6,8.9,0.7,0,0,0,0.2,4.6,14.1,22.9,115
Hot days,Hof ,0,0,0,0,0,0.4,1.4,1,0,0,0,0,2.8
Percipitation,Hof ,62,50,56,46,62,73,86,79,61,57,61,67,759
Summer days,Hof ,0,0,0,0.1,1.7,4.8,8.6,7.9,1.3,0,0,0,24.4
Sunshine Duration,Hof ,48,77,111,169,208,198,218,212,154,110,50,38,1591
Temperature ,Hof ,-2,-1.3,2.3,6.7,11.6,14.4,16.5,16.2,12.1,7.5,2.3,-1,7.1
Ice days,Hof (Stadt) ,11.2,8.4,2.1,0.2,0,0,0,0,0,0,2.5,8.3,32.7
Frost days,Hof (Stadt) ,22.3,21.2,16.5,9,0.9,0,0,0,0.3,4.6,12.3,21,108.2
Hot days,Hof (Stadt) ,0,0,0,0,0.1,0.9,1.9,1.5,0,0,0,0,4.3
Percipitation,Hof (Stadt) ,59,48,52,45,59,72,87,74,57,54,56,63,725
Summer days,Hof (Stadt) ,0,0,0,0.2,2.2,5.5,9.3,9.1,2,0.1,0,0,28.3
Sunshine Duration,Hof (Stadt) ,48,76,110,168,203,198,214,210,153,111,49,37,1577
Temperature ,Hof (Stadt) ,-1.4,-1,2.8,7,12.3,15,17.1,16.6,12.5,8,2.9,-0.1,7.6
Ice days,Hofheim ,8.3,5,0.5,0,0,0,0,0,0,0,1.3,4.9,20.1
Frost days,Hofheim ,19.5,19,13.7,5.7,0.8,0,0,0,0,3.3,10.3,17.7,90.2
Hot days,Hofheim ,0,0,0,0,0.2,1.8,4.6,3.4,0.2,0,0,0,10.3
Percipitation,Hofheim ,56,45,50,48,59,70,76,54,60,57,57,64,695
Summer days,Hofheim ,0,0,0,0.5,4.2,9,14.5,14.2,4.2,0.2,0,0,46.9
Sunshine Duration,Hofheim ,42,72,108,167,202,203,221,206,147,99,42,31,1540
Temperature ,Hofheim ,-0.1,0.5,4.6,8.7,13.6,16.4,18.6,18.1,13.8,9.2,4,1.1,9
Ice days,Hohenpeißenberg ,11.2,10.5,5,0.7,0,0,0,0,0,0.3,5.8,10.3,43.8
Frost days,Hohenpeißenberg ,23,20.3,17.3,9.4,1,0,0,0,0.1,3.4,13.7,21.4,109.6
Hot days,Hohenpeißenberg ,0,0,0,0,0,0.1,0.2,0.1,0,0,0,0,0.4
Percipitation,Hohenpeißenberg ,53,52,72,78,123,152,163,157,109,76,72,68,1175
Summer days,Hohenpeißenberg ,0,0,0,0,0.6,2.5,4.8,3.9,0.4,0.1,0,0,12.3
Sunshine Duration,Hohenpeißenberg ,99,104,139,169,197,203,234,215,162,134,93,80,1829
Temperature ,Hohenpeißenberg ,-0.8,-0.6,2.4,6.1,10.8,13.7,16,15.7,12,8.2,3,0.1,7.2
Ice days,Hohn ,5.9,4.1,0.7,0,0,0,0,0,0,0,0.6,4.1,15.4
Frost days,Hohn ,15,15.3,12.8,5.4,0.5,0,0,0,0,2.6,8.8,14.6,75
Hot days,Hohn ,0,0,0,0,0,0.5,1.2,1.4,0,0,0,0,3.2
Percipitation,Hohn ,68,50,58,44,51,76,82,79,77,85,70,74,812
Summer days,Hohn ,0,0,0,0.2,1.2,3.6,7.4,7.1,1.3,0,0,0,20.8
Sunshine Duration,Hohn ,43,67,112,168,229,208,230,219,149,105,54,35,1618
Temperature ,Hohn ,1.1,1.3,3.6,7.3,11.6,14.7,17.2,16.7,13.3,9.4,4.8,2.1,8.6
Percipitation,Hohne ,70,51,57,45,55,68,74,67,57,58,58,69,728
Ice days,Hohwacht ,6.4,4.6,0.8,0,0,0,0,0,0,0,0.4,4.1,16.2
Frost days,Hohwacht ,14.8,14.2,9.8,2.8,0.1,0,0,0,0,0.8,5.7,13.5,61.7
Hot days,Hohwacht ,0,0,0,0,0,0.3,0.6,0.3,0,0,0,0,1.3
Percipitation,Hohwacht ,64,46,52,38,54,65,69,73,62,61,61,61,707
Summer days,Hohwacht ,0,0,0,0.1,0.5,1.8,5.3,4.6,0.6,0,0,0,12.9
Sunshine Duration,Hohwacht ,42,63,113,181,238,215,233,213,147,107,52,33,1637
Temperature ,Hohwacht ,1.7,1.8,4.1,7.5,11.8,15,17.6,17.2,13.9,9.9,5.5,2.5,9
Ice days,Höllenstein (Kraftwerk) ,12.8,8.1,1.2,0,0,0,0,0,0,0,2.7,10,34.8
Frost days,Höllenstein (Kraftwerk) ,24.6,22.3,18.9,9.8,0.9,0,0,0,0,5.2,14.8,22.3,118.8
Hot days,Höllenstein (Kraftwerk) ,0,0,0,0,0.1,1,1.8,1.2,0,0,0,0,4
Percipitation,Höllenstein (Kraftwerk) ,69,54,62,50,80,96,103,99,74,65,64,77,892
Summer days,Höllenstein (Kraftwerk) ,0,0,0,0,2.8,6.5,10.5,10.2,0.7,0,0,0,30.6
Sunshine Duration,Höllenstein (Kraftwerk) ,50,78,112,170,207,203,225,209,149,112,49,40,1604
Temperature ,Höllenstein (Kraftwerk) ,-2,-1.5,2.5,6.7,12.4,15.2,16.9,16.6,12.1,7.5,2.2,-0.8,7.3
Ice days,Holzkirchen ,10,7.3,1.8,0.1,0,0,0,0,0,0.1,3.2,9,31.4
Frost days,Holzkirchen ,25.3,22.1,17.4,7,0.4,0,0,0,0.1,3.8,15.8,23.6,115.5
Hot days,Holzkirchen ,0,0,0,0,0,0.9,2.3,1.3,0,0,0,0,4.5
Percipitation,Holzkirchen ,81,86,107,94,134,157,166,163,117,82,100,103,1390
Summer days,Holzkirchen ,0,0,0,0.2,3.3,7.3,11.3,10.3,2,0.1,0,0,34.5
Sunshine Duration,Holzkirchen ,71,89,124,160,195,195,224,206,154,122,71,52,1663
Temperature ,Holzkirchen ,-1.2,-0.5,3.1,7.4,12.4,15.2,17.2,16.5,12.3,8.1,2.6,-0.4,7.7
Ice days,Holzminden-Silberborn ,10,7.9,1.9,0.1,0,0,0,0,0,0,2,7.8,29.6
Frost days,Holzminden-Silberborn ,20,18.9,14.4,6.6,0.2,0,0,0,0,2.6,10.5,19,92.1
Hot days,Holzminden-Silberborn ,0,0,0,0,0,0.2,0.7,0.7,0,0,0,0,1.6
Percipitation,Holzminden-Silberborn ,109,81,98,70,84,92,97,91,97,87,99,112,1119
Summer days,Holzminden-Silberborn ,0,0,0,0,1.2,3.1,6.7,5.7,1,0,0,0,17.7
Sunshine Duration,Holzminden-Silberborn ,42,69,101,155,198,183,201,191,131,98,45,31,1445
Temperature ,Holzminden-Silberborn ,-0.6,-0.3,2.9,6.6,11.3,13.7,15.9,15.6,12.1,8.1,3.3,0.4,7.4
Ice days,Kahl/Main ,5.5,2.7,0.1,0,0,0,0,0,0,0,0.8,3,12
Frost days,Kahl/Main ,16.2,15.9,9,2.6,0.1,0,0,0,0,2,7.3,14.6,67.6
Hot days,Kahl/Main ,0,0,0,0,0.3,2.3,5.4,3.7,0.3,0,0,0,12
Percipitation,Kahl/Main ,52,51,52,48,71,68,70,61,58,59,59,62,712
Summer days,Kahl/Main ,0,0,0,1.3,5.4,10.1,15.2,14.5,4.2,0.3,0,0,50.9
Sunshine Duration,Kahl/Main ,43,77,118,177,208,213,231,216,154,101,46,33,1617
Temperature ,Kahl/Main ,1.7,2.3,6.3,10,14.7,17.7,19.8,19.1,14.8,10.3,5.6,2.5,10.4
Ice days,Kahler Asten ,15,13.4,7.4,1.2,0,0,0,0,0,0.2,6.2,13.7,57
Frost days,Kahler Asten ,26.3,23.3,20.6,11.8,2,0,0,0,0,5.1,15.4,24.6,129.1
Hot days,Kahler Asten ,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2
Percipitation,Kahler Asten ,151,110,127,85,93,104,114,105,128,119,135,148,1417
Summer days,Kahler Asten ,0,0,0,0,0.2,0.8,2.8,2.1,0.1,0,0,0,5.9
Sunshine Duration,Kahler Asten ,50,76,99,153,179,177,193,176,127,94,43,41,1409
Temperature ,Kahler Asten ,-2.2,-2,0.8,4.5,9.1,11.5,13.8,13.5,10.1,6,1.6,-1.3,5.5
Ice days,Kall-Sistig ,6.6,6.1,1.3,0.1,0,0,0,0,0,0,1.6,5.6,21.3
Frost days,Kall-Sistig ,18.6,17.5,12.8,6.2,0.5,0,0,0,0,2.3,8.4,16.4,82.6
Hot days,Kall-Sistig ,0,0,0,0,0,0.2,1.3,1.1,0,0,0,0,2.6
Percipitation,Kall-Sistig ,85,75,76,64,67,68,68,61,69,70,71,83,857
Summer days,Kall-Sistig ,0,0,0,0,0.9,3.6,7.5,6.5,1.4,0,0,0,20
Sunshine Duration,Kall-Sistig ,54,77,111,156,184,188,207,197,141,104,59,40,1518
Temperature ,Kall-Sistig ,0.4,0.6,3.7,6.7,11.1,13.9,16.3,15.9,12.5,8.7,4.3,1.3,8
Ice days,Karlsruhe ,5.4,2.5,0.1,0,0,0,0,0,0,0,0.7,2.4,11.1
Frost days,Karlsruhe ,15.4,14.1,7.5,2,0,0,0,0,0,0.9,7.4,13.3,60.7
Hot days,Karlsruhe ,0,0,0,0,0.9,4,7.9,7.6,1,0,0,0,21.4
Percipitation,Karlsruhe ,60,56,58,53,77,79,75,55,60,74,63,73,783
Summer days,Karlsruhe ,0,0,0.1,1.6,7.4,12.4,19,19.2,7.6,0.6,0,0,68
Sunshine Duration,Karlsruhe ,56,88,133,182,220,232,255,239,176,112,66,46,1805
Temperature ,Karlsruhe ,2.1,3,7,10.6,15.2,18.3,20.6,20.1,15.7,11,5.7,3.1,11
Ice days,Kassel ,7.9,5.7,0.6,0,0,0,0,0,0,0,1.5,6,21.7
Frost days,Kassel ,17.6,16.2,10.3,3.7,0.1,0,0,0,0,2.2,7.3,15.8,73.2
Hot days,Kassel ,0,0,0,0,0,0.5,2.7,1.8,0.1,0,0,0,5.2
Percipitation,Kassel ,59,45,60,42,68,74,69,61,67,54,63,69,729
Summer days,Kassel ,0,0,0,0.6,2.7,5.5,11.2,9.7,2,0,0,0,31.7
Sunshine Duration,Kassel ,44,73,111,161,198,195,206,193,138,95,43,33,1490
Temperature ,Kassel ,0.5,1.2,4.8,8.8,13.3,15.8,18.1,17.8,13.7,9.2,4.7,1.4,9.1
Ice days,Kaufbeuren ,10,8.3,2.2,0.1,0,0,0,0,0,0,3.1,8.6,32.4
Frost days,Kaufbeuren ,24.9,22.6,17.7,9.6,0.8,0,0,0,0.3,4.3,15.9,22.9,118.9
Hot days,Kaufbeuren ,0,0,0,0,0,0.5,1.3,1.2,0,0,0,0,3
Percipitation,Kaufbeuren ,71,67,81,80,113,133,142,129,93,73,83,90,1154
Summer days,Kaufbeuren ,0,0,0,0.1,1.8,6.1,10.1,8.8,1.8,0.2,0,0,28.8
Sunshine Duration,Kaufbeuren ,75,94,129,163,193,196,225,208,154,212,74,58,1781
Temperature ,Kaufbeuren ,-1.3,-0.7,3.1,6.8,11.9,15,17.1,16.5,12.6,8.4,2.7,-0.2,7.7
Ice days,Kaufering ,10.2,8.3,1.3,0,0,0,0,0,0,0,2.9,9.1,31.9
Frost days,Kaufering ,22.8,20.3,14,5.7,0.3,0,0,0,0.1,2.7,12.9,21,99.9
Hot days,Kaufering ,0,0,0,0,0.1,0.9,2.3,1.6,0,0,0,0,4.9
Percipitation,Kaufering ,54,53,66,74,110,113,126,109,91,68,70,70,1004
Summer days,Kaufering ,0,0,0,0.2,2.6,7.3,11.4,10.7,2.4,0.1,0,0,34.8
Sunshine Duration,Kaufering ,66,87,127,167,202,205,232,214,156,114,66,49,1685
Temperature ,Kaufering ,-0.8,-0.1,4,7.9,12.9,16,18,17.5,13.3,8.8,3.1,0.4,8.4
Ice days,Kempten ,8.5,7,1.9,0.1,0,0,0,0,0,0,2.6,7.7,27.8
Frost days,Kempten ,25.6,22.7,17.2,8.6,0.9,0,0,0,0.2,3.7,16.5,23.7,119.2
Hot days,Kempten ,0,0,0,0,0.1,0.5,1.8,1.2,0,0,0,0,3.6
Percipitation,Kempten ,84,78,96,84,114,147,145,140,108,84,89,95,1261
Summer days,Kempten ,0,0,0,0,2.4,7,11.1,9.7,2.1,0.3,0,0,32.4
Sunshine Duration,Kempten ,90,100,138,168,193,196,227,213,164,131,87,72,1779
Temperature ,Kempten ,-1.4,-0.7,3.2,6.9,11.8,14.9,17.1,16.3,12.4,8.4,2.7,-0.3,7.6
Ice days,"Kissingen, Bad ",8.8,4.1,0.5,0,0,0,0,0,0,0,1.2,5.8,20.4
Frost days,"Kissingen, Bad ",19.8,18.1,13,5,0.4,0,0,0,0,3.1,9.3,17.6,86.4
Hot days,"Kissingen, Bad ",0,0,0,0,0.2,1.5,4.7,3.4,0.2,0,0,0,10
Percipitation,"Kissingen, Bad ",64,50,55,44,63,61,71,56,56,59,61,73,714
Summer days,"Kissingen, Bad ",0,0,0,0.6,4.5,8.9,14.5,13.5,3.9,0.2,0,0,46.1
Sunshine Duration,"Kissingen, Bad ",37,66,103,156,199,204,222,196,138,88,37,26,1472
Temperature ,"Kissingen, Bad ",0.1,0.9,4.8,8.9,13.4,16.3,18.4,17.8,13.6,9,4.2,1,9
Ice days,Kitzingen ,7.6,3.9,0.3,0,0,0,0,0,0,0,1.1,4.3,17.3
Frost days,Kitzingen ,17.8,16.4,11,4,0.1,0,0,0,0,3.6,8.3,15.8,77
Hot days,Kitzingen ,0,0,0,0,0.6,3,6.7,5,0.5,0,0,0,15.8
Percipitation,Kitzingen ,42,39,47,40,58,62,67,54,51,47,48,53,607
Summer days,Kitzingen ,0,0,0,1.5,6,11.1,17,16.6,5,0.2,0,0,57.5
Sunshine Duration,Kitzingen ,46,77,115,172,207,209,230,215,155,102,46,34,1608
Temperature ,Kitzingen ,0.8,1.5,5.3,9.6,14.4,17.3,19.4,18.8,14.3,9.7,4.7,1.7,9.8
Ice days,Kleiner Feldberg/Taunus ,14.6,12.2,5.2,0.6,0,0,0,0,0,0.1,5.7,12.3,50.6
Frost days,Kleiner Feldberg/Taunus ,25.4,22.4,18.7,9.6,1.2,0,0,0,0,3.9,14.4,23.5,119.1
Hot days,Kleiner Feldberg/Taunus ,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.3
Summer days,Kleiner Feldberg/Taunus ,0,0,0,0,0.1,1.1,4,2.3,0.2,0,0,0,7.7
Ice days,Kleve ,4.1,2.3,0.1,0,0,0,0,0,0,0,0.6,2.9,10.1
Frost days,Kleve ,13.9,13,8.3,2.7,0.1,0,0,0,0,1,5.3,13.1,57.4
Hot days,Kleve ,0,0,0,0,0.1,0.7,3.1,2,0.1,0,0,0,6.1
Percipitation,Kleve ,71,60,67,43,67,72,77,66,73,73,72,76,816
Summer days,Kleve ,0,0,0,0.6,3,6.2,10.4,9.3,2.5,0,0,0,32
Sunshine Duration,Kleve ,50,73,110,167,207,205,216,195,138,109,55,38,1563
Temperature ,Kleve ,2.7,3.1,5.9,9.4,13.5,16,18.2,17.6,14.3,10.6,6.3,3.3,10.1
Ice days,Klippeneck ,10.4,10.6,4.6,0.5,0,0,0,0,0,0,5.6,10.4,42.2
Frost days,Klippeneck ,23.4,21.3,18,9.9,1.5,0,0,0,0,3.9,15.2,22.6,115.9
Hot days,Klippeneck ,0,0,0,0,0,0,0.4,0.2,0,0,0,0,0.7
Summer days,Klippeneck ,0,0,0,0,0.6,2,5.9,4.8,0.9,0,0,0,14.3
Ice days,Koblenz-Horchheim ,3.8,1.9,0,0,0,0,0,0,0,0,0.6,1.9,8.2
Frost days,Koblenz-Horchheim ,12.6,12.4,6.4,1.7,0,0,0,0,0,0.9,4.5,10.9,49.4
Hot days,Koblenz-Horchheim ,0,0,0,0,0.6,2.6,4.9,4.6,0.4,0,0,0,13.1
Percipitation,Koblenz-Horchheim ,50,43,50,52,63,75,69,64,63,53,52,52,686
Summer days,Koblenz-Horchheim ,0,0,0,1.2,5.6,10.8,15.2,14.4,4.7,0.2,0,0,52
Sunshine Duration,Koblenz-Horchheim ,43,71,110,164,190,198,211,195,138,93,44,32,1489
Temperature ,Koblenz-Horchheim ,2.8,3.2,6.9,10.3,14.9,17.8,19.8,19.2,15.3,11,6.4,3.7,10.9
Ice days,Köln-Bonn ,3.6,1.9,0.1,0,0,0,0,0,0,0,0.4,2,7.9
Frost days,Köln-Bonn ,14.9,14.6,10,4.7,0.4,0,0,0,0,2.2,6.6,13.5,66.9
Hot days,Köln-Bonn ,0,0,0,0,0.3,1.5,4.1,3.2,0.3,0,0,0,9.4
Percipitation,Köln-Bonn ,62,54,65,54,72,91,86,75,75,67,67,71,839
Summer days,Köln-Bonn ,0,0,0,1.1,4.6,8.3,13.3,11.5,3.2,0.1,0,0,42.3
Sunshine Duration,Köln-Bonn ,56,81,112,165,195,194,210,194,143,107,61,46,1563
Temperature ,Köln-Bonn ,2.5,2.9,6.3,9.7,14,16.6,18.8,18.1,14.5,10.6,6.2,3.3,10.3
Ice days,Köln-Stammheim ,2.5,1.6,0.1,0,0,0,0,0,0,0,0.2,1.2,5.6
Frost days,Köln-Stammheim ,10.7,9.6,3.6,0.5,0,0,0,0,0,0.3,2.9,8.6,36.2
Hot days,Köln-Stammheim ,0,0,0,0,0.3,1.5,4.1,2.9,0.1,0,0,0,8.9
Percipitation,Köln-Stammheim ,66,54,60,52,69,81,80,76,74,66,69,72,817
Summer days,Köln-Stammheim ,0,0,0,1.1,4.6,8.1,12.5,10.9,3.2,0.1,0,0,40.4
Sunshine Duration,Köln-Stammheim ,50,75,109,163,192,193,205,192,135,102,54,40,1510
Temperature ,Köln-Stammheim ,3.6,4,7.4,10.9,15.1,17.8,20.1,19.5,15.8,11.8,7.2,4.4,11.5
Ice days,"Königshofen, Bad ",9.1,5,0.6,0,0,0,0,0,0,0,1.3,6.1,22
Frost days,"Königshofen, Bad ",20.3,19.2,14.7,7.9,1.4,0,0,0,0.5,5.4,11.1,18.7,99.2
Hot days,"Königshofen, Bad ",0,0,0,0,0.2,1.2,3.9,2.6,0.1,0,0,0,8
Percipitation,"Königshofen, Bad ",46,36,42,43,59,56,70,59,51,49,49,57,616
Summer days,"Königshofen, Bad ",0,0,0,0.4,3.8,8.1,13.6,12.3,3.2,0.1,0,0,41.4
Sunshine Duration,"Königshofen, Bad ",41,71,107,165,201,201,218,204,144,97,41,31,1521
Temperature ,"Königshofen, Bad ",-0.5,0.3,4.2,8.3,13,15.8,17.9,17.5,13.3,8.6,3.8,0.6,8.6
Ice days,Konstanz ,7.8,4,0.4,0,0,0,0,0,0,0,1.4,4.9,18.5
Frost days,Konstanz ,19.9,17.6,9.2,1.6,0,0,0,0,0,0.7,6.7,16.2,71.9
Hot days,Konstanz ,0,0,0,0,0.4,2.5,4.6,3.2,0.1,0,0,0,10.8
Percipitation,Konstanz ,44,45,55,62,89,98,97,89,77,63,60,66,845
Summer days,Konstanz ,0,0,0,0.7,5.4,11.1,17.2,14.7,3.6,0.1,0,0,52.9
Sunshine Duration,Konstanz ,49,78,136,179,208,226,249,226,161,98,53,41,1703
Temperature ,Konstanz ,0.6,1.5,5.5,9.4,14.2,17.3,19.5,18.9,14.7,10.1,4.6,1.7,9.8
Ice days,Kösching ,12.4,7.3,1.1,0,0,0,0,0,0,0,2.1,9.1,32.1
Frost days,Kösching ,24.4,20.9,14.6,5.2,0.5,0,0,0,0,2.7,11.8,21.6,101.8
Hot days,Kösching ,0,0,0,0,0.1,1.2,3.6,2.8,0,0,0,0,7.7
Percipitation,Kösching ,47,42,50,43,70,79,86,77,58,55,56,59,723
Summer days,Kösching ,0,0,0,0.3,3.7,8.4,13.8,13.1,3.5,0.1,0,0,42.9
Sunshine Duration,Kösching ,51,82,124,180,219,221,242,226,163,107,49,41,1704
Temperature ,Kösching ,-1.2,-0.1,4,8.5,13.4,16.1,18.2,17.8,13.6,8.8,3.3,0,8.5
Percipitation,"Kreuznach, Bad ",36,39,38,38,51,48,55,52,48,51,44,48,549
Sunshine Duration,"Kreuznach, Bad ",36,71,117,171,201,210,224,207,145,90,43,28,1543
Temperature ,"Kreuznach, Bad ",1.3,2.1,6.1,9.8,14.2,17.2,19.4,18.7,14.6,9.9,5.3,2.5,10.1
Ice days,Kronach ,9.2,5.3,1,0,0,0,0,0,0,0,1.3,6.3,23.2
Frost days,Kronach ,21.2,19.5,15.1,6.2,0.6,0,0,0,0,4,10.5,18.8,95.9
Hot days,Kronach ,0,0,0,0,0.2,1.7,4,2.9,0.1,0,0,0,8.9
Percipitation,Kronach ,72,58,64,52,68,77,87,71,67,65,71,84,836
Summer days,Kronach ,0,0,0,0.6,4.2,8.9,13.9,13.1,3.3,0.1,0,0,44.1
Sunshine Duration,Kronach ,42,71,103,165,201,196,214,205,144,101,42,32,1516
Temperature ,Kronach ,-0.5,0.2,4,8.3,13.5,16.3,18.3,17.6,13.3,8.7,3.8,0.5,8.7
Ice days,Lahr ,7,2.6,0,0,0,0,0,0,0,0,0.6,3.8,14.1
Frost days,Lahr ,17.6,15.5,8.8,2.4,0,0,0,0,0,1.7,8,14.3,68.4
Hot days,Lahr ,0,0,0,0,0.6,2.6,5.3,4.4,0.6,0,0,0,13.5
Percipitation,Lahr ,44,45,58,67,101,77,85,89,66,79,59,65,835
Summer days,Lahr ,0,0,1,1,6,12.1,17.1,15.9,6,0.7,0,0,58.9
Sunshine Duration,Lahr ,55,84,129,174,204,228,248,230,170,103,61,42,1728
Temperature ,Lahr ,1.7,3,6.7,10.5,15,18.2,20,19.4,15.4,11.1,5.8,3,10.8
Percipitation,Lautertal-Oberlauter ,59,48,57,49,65,72,81,62,66,54,64,75,751
Sunshine Duration,Lautertal-Oberlauter ,47,75,109,166,204,200,216,204,149,104,46,39,1559
Temperature ,Lautertal-Oberlauter ,-0.6,0.2,4.1,8.4,13.4,16.1,18.2,17.7,13.4,8.7,3.7,0.5,8.7
Ice days,Leinefelde ,9.6,8,1.9,0.1,0,0,0,0,0,0,2.1,7.8,29.4
Frost days,Leinefelde ,19.6,18.9,13.2,5.6,0.3,0,0,0,0,2.8,9,18.7,88.1
Hot days,Leinefelde ,0,0,0,0,0,0.3,1.7,1.3,0,0,0,0,3.4
Percipitation,Leinefelde ,58,46,62,49,68,67,72,64,63,50,62,67,727
Summer days,Leinefelde ,0,0,0,0.1,1.2,3.8,9.2,7.4,1.6,0,0,0,23.3
Sunshine Duration,Leinefelde ,53,76,112,164,204,198,210,200,144,107,52,39,1559
Temperature ,Leinefelde ,-0.3,0,3.5,7.7,12,14.6,17,16.8,13.1,8.6,3.9,0.6,8.1
Ice days,Leipzig/Halle ,7.6,6,1,0,0,0,0,0,0,0,1.3,6.3,22.1
Frost days,Leipzig/Halle ,18.4,16.6,11.5,3.8,0,0,0,0,0,2.3,8.7,17.3,78.6
Hot days,Leipzig/Halle ,0,0,0,0,0.2,1.2,4.3,2.7,0,0,0,0,8.5
Percipitation,Leipzig/Halle ,32,26,39,40,47,55,69,63,50,31,43,40,534
Summer days,Leipzig/Halle ,0,0,0,0.6,3.5,7.6,13.8,13.2,3.3,0.1,0,0,42
Sunshine Duration,Leipzig/Halle ,59,76,115,178,225,212,228,211,152,119,60,48,1683
Temperature ,Leipzig/Halle ,0.5,1.1,4.7,8.9,13.8,16.5,19,18.6,14.4,9.8,4.7,1.3,9.4
Ice days,Leipzig-Holzhausen ,7.4,5.8,1,0,0,0,0,0,0,0,1.3,5.9,21.3
Frost days,Leipzig-Holzhausen ,16.6,16.1,8.9,3.2,0,0,0,0,0,2.1,7.9,16.1,70.8
Hot days,Leipzig-Holzhausen ,0,0,0,0,0.4,1.5,4.6,3,0.1,0,0,0,9.5
Percipitation,Leipzig-Holzhausen ,42,36,48,46,54,59,77,68,53,38,54,51,627
Summer days,Leipzig-Holzhausen ,0,0,0,0.9,4.5,9.1,14.7,13.5,3.6,0.2,0,0,46.5
