Type,Station name,Jan.,Feb.,March,Apr.,May,Jun.,Jul.,Aug.,Sept.,Oct.,Nov.,Dec.,Year
Frost days,Gilserberg-Moischeid ,19.6,18.9,14.8,8.7,1.2,0,0,0,0.3,4.3,10.8,18,96.6
Hot days,Gilserberg-Moischeid ,0,0,0,0,0,0.3,2.1,1.5,0,0,0,0,3.9
Percipitation,Gilserberg-Moischeid ,63,48,55,47,71,69,66,62,64,58,62,69,733
Summer days,Gilserberg-Moischeid ,0,0,0,0.2,2,5.2,10.7,8.9,1.6,0,0,0,28.5
Sunshine Duration,Gilserberg-Moischeid ,41,71,108,165,195,195,209,196,139,97,41,31,1488
Temperature ,Gilserberg-Moischeid ,-0.7,-0.2,3.7,7.4,12,14.9,17.1,16.5,12.6,8.3,3.8,0.7,8
Ice days,Glückstadt ,5.9,3.8,0.7,0,0,0,0,0,0,0,0.6,4.7,15.6
Frost days,Glückstadt ,14,13.8,9.6,3.4,0,0,0,0,0,1.6,6.6,13.5,62.5
Hot days,Glückstadt ,0,0,0,0,0.1,0.5,1.6,1.4,0,0,0,0,3.7
Percipitation,Glückstadt ,74,55,66,41,61,83,89,82,74,82,78,77,861
Summer days,Glückstadt ,0,0,0,0.4,2,4.1,8.6,7.5,1.5,0,0,0,24
Sunshine Duration,Glückstadt ,45,68,108,174,224,199,216,201,140,104,52,35,1566
Temperature ,Glückstadt ,1.4,1.6,4.2,8,12.4,15.1,17.4,17.2,13.8,9.7,5.2,2.4,9
Ice days,Görlitz ,9.9,7.5,1.5,0.1,0,0,0,0,0,0,2.1,8.2,29.3
Frost days,Görlitz ,20.3,18.4,12.7,5,0,0,0,0,0,3.3,10.5,18.8,89
Hot days,Görlitz ,0,0,0,0,0,1,3.1,1.9,0,0,0,0,6
Percipitation,Görlitz ,46,37,49,40,58,66,87,80,53,40,49,51,656
Summer days,Görlitz ,0,0,0,0.5,2.7,6.7,12.1,12.1,2,0,0,0,36.2
Sunshine Duration,Görlitz ,62,78,120,181,224,211,230,222,153,124,63,50,1718
Temperature ,Görlitz ,-0.6,0.3,3.9,8.6,13.5,16.2,18.4,18,13.7,9.3,4,0.4,8.8
Ice days,Göttingen ,6.5,4.7,0.6,0,0,0,0,0,0,0,1,4.9,17.6
Frost days,Göttingen ,16.3,15.9,10.9,5.6,0.6,0,0,0,0.1,2.7,7,15.5,74.6
Hot days,Göttingen ,0,0,0,0,0.1,0.8,3.2,3.1,0.3,0,0,0,7.4
Percipitation,Göttingen ,52,39,52,41,65,66,66,58,56,46,54,56,651
Summer days,Göttingen ,0,0,0,0.4,3.4,6.4,12,11.2,3.2,0.1,0,0,36.6
Sunshine Duration,Göttingen ,49,72,106,162,198,195,205,191,137,102,50,38,1502
Temperature ,Göttingen ,0.9,1.4,4.8,8.6,13,15.6,17.8,17.6,13.8,9.5,5.1,1.8,9.2
Ice days,Grainet-Rehberg ,12.4,8,2.2,0,0,0,0,0,0,0,3.3,10.3,36.3
Frost days,Grainet-Rehberg ,26.2,23.4,18.1,6.6,0.6,0,0,0,0,3.9,15.8,25.1,119.7
Hot days,Grainet-Rehberg ,0,0,0,0,0,0.6,2,0.9,0,0,0,0,3.6
Percipitation,Grainet-Rehberg ,109,91,99,60,88,100,120,103,85,81,89,110,1136
Summer days,Grainet-Rehberg ,0,0,0,0.1,2.8,5.9,10.7,9.8,2.1,0.3,0,0,31.6
Sunshine Duration,Grainet-Rehberg ,59,85,117,170,205,200,222,209,153,121,58,48,1647
Temperature ,Grainet-Rehberg ,-2.4,-1.3,2.3,7.4,12.4,15.1,17,16.4,12.6,8,2.3,-1.2,7.4
Percipitation,Grambek ,64,53,59,42,51,69,73,80,61,56,62,67,737
Sunshine Duration,Grambek ,40,65,108,174,228,205,223,206,145,107,50,31,1582
Temperature ,Grambek ,0.9,1.4,4.2,8.2,12.8,15.5,17.9,17.3,13.5,9.1,4.8,1.7,8.9
Ice days,Greifswald ,7.4,5.3,1,0,0,0,0,0,0,0,1.1,5.7,20.4
Frost days,Greifswald ,16.4,16.1,12.1,3.8,0,0,0,0,0,1.7,8,16,74.2
Hot days,Greifswald ,0,0,0,0,0.1,0.4,1.3,0.8,0,0,0,0,2.6
Percipitation,Greifswald ,46,36,42,35,53,66,59,71,55,44,47,47,601
Summer days,Greifswald ,0,0,0,0.5,1.2,3.1,7.4,6.8,1.2,0,0,0,20.2
Sunshine Duration,Greifswald ,48,66,120,188,244,222,246,218,155,114,52,39,1711
Temperature ,Greifswald ,0.7,1.1,3.7,7.6,12.2,15.3,17.8,17.5,13.8,9.4,4.7,1.5,8.8
Ice days,Groß Lüsewitz ,7.6,5.6,1.1,0,0,0,0,0,0,0,1.3,6.2,21.8
Frost days,Groß Lüsewitz ,17.4,16.6,12.9,5.5,0.6,0,0,0,0,2.5,9.2,16.6,81.3
Hot days,Groß Lüsewitz ,0,0,0,0,0,0.4,1.5,1.4,0,0,0,0,3.4
Percipitation,Groß Lüsewitz ,44,35,42,34,56,71,68,69,60,47,51,51,627
Summer days,Groß Lüsewitz ,0,0,0,0.3,1.5,2.8,8.9,7.8,1.2,0,0,0,22.6
Sunshine Duration,Groß Lüsewitz ,47,68,117,185,246,218,235,211,152,110,53,38,1680
Temperature ,Groß Lüsewitz ,0.6,1,3.5,7.5,12.2,14.9,17.4,16.9,13.4,9.1,4.4,1.3,8.5
Ice days,Großenkneten ,5.5,4.5,0.5,0,0,0,0,0,0,0,0.7,4.8,16
